English,French
part,partie
history,histoire
search,chercher
only,seulement
police,police
thought,pensais
help,aide
request,demande
kind,genre
month,mois
let,laisser
because,car
no,aucun
leash,laisse
them,eux
city,ville
each,chaque
speak,parlé
come,arrivé
should,devrait
baby,bébé
hours,heures
will,vont
meet again,revoir
any,aucune
speak,parle
understood,compris
knew,savais
were,étaient
Warning,attention
here is,voici
could,pourrais
case,affaire
give,donner
type,type
given,donné
body,corps
place,endroit
eyes,yeux
way,façon
listen,écoute
find,trouve
lost,perdu
hand,main
first,première
side,côté
power,pouvoir
be,sois
morning,matin
so much,tellement
child,enfant
after,suite
in front of,devant
minutes,minutes
bedroom,chambre
placed,mis
beautiful,belle
husband,mari
cause,cause
hope,espère
water,eau
new,nouvelle
job,boulot
would say,dirait
Earth,terre
account,compte
given,donne
far,loin
believe,croire
sweetheart,chérie
rather,plutôt
will have,aura
girls,filles
to play,jouer
office,bureau
